termo_pajuba,significado_dicionario,frase_exemplo
"À mublila está fuzada","os dentes estão estragados","Fui ao dentista e à mublila tá fuzada, mona."
"Abatá Matim","sapato pequeno","Esse abatá matim tá me apertando, será que estico?"
"Abatá Odara","sapato grande","Comprei um abatá odara pra trabalhar na feira."
"Abatá uó","sapato ruim","Joguei fora esse abatá uó, tava me machucando."
"Abatá","sapato","Vou lavar meu abatá antes de sair."
"Abuté","cabrito","Vó fez abuté no almoço, quer comer com a gente?"
"Acué Matim","pouco dinheiro","Só tenho acué matim pro pão hoje."
"Acué Odara","muito dinheiro","A Cida tá com acué odara depois do bingo."
"Acué","dinheiro","Cadê meu acué que deixei na mesa?"
"Adé fontó","bicha enrustido","Aquele vizinho é adé fontó, vive olhando as monas."
"Adé Bombada","travesti com silicone","A adé bombada do salão tá linda com os novos peitos."
"Adé Dundun","bicha preta","Adé dundun arrasou no baile de sábado."
"Adé","gay, bicha, travesti","O adé da farmácia sempre me dá desconto."
"Adeus","mão","Lavei a adeus antes de comer."
"Afofi","cheiro ruim","Tira esse lixo que tá com afofi, mona."
"Afofó","faladeira, fofoqueiro","Essa vizinha é afofó demais, vive mexendo."
"Aganegan","pessoas invejosas","Essas aganegan não gostam de ver ninguém bem."
"Agricó","galo","O agricó da Dona Maria não me deixa dormir."
"Aja gangun","velho","O aja gangun da esquina conta histórias boas."
"Ajapi","cachorro","O ajapi tá latindo de novo, deve ter estranho."
"Ajé fotorum","pessoas falsas","Cuidado com ela, é ajé fotorum da pior."
"Ajeum Matim","pouca comida","Só tem ajeum matim pra dividir, vamos ter que rachar."
"Ajeum Odara","muita comida","Fiz ajeum odara pro aniversário do meu sobrinho."
"Ajeum","comida, lanche","Vamos fazer ajeum antes de ir pro baile?"
"Ajeum de ere","doce","Quem quer ajeum de ere? Tem brigadeiro aqui."
"Ajeum de macaco","banana","Ajeum de macaco é bom pra cãibra."
"Alá","lençol","Lavei o alá hoje, tá cheirando bem."
"Alibam verde","policial do Exército","O alibam verde tá na rua principal."
"Alibam azul","policial da Aeronáutica","O alibam azul passou aqui agora."
"Alibam branco","policial da Marinha","Alibam branco tá na praia hoje."
"Alibam nagiria","polícia por perto","Mona, alibam nagiria, melhor dar meia volta."
"Alibam","policial","O alibam parou o carro do Zé."
"Amapoa","mulher","A amapoa do mercado me deu desconto."
"Amubudulé","dormir","Vou amubudulé cedo, tô cansada do trabalho."
"Apeti matim","peito pequeno","Ela tem apeti matim mas se acha."
"Apeti odara","peito grande","Apeti odara chama atenção na rua."
"Apeti","seio","O neném tá chorando porque quer o apeti."
"Apinipam","fogão","O apinipam quebrou, vou ter que cozinhar no micro."
"Aquendar o Aqué","ganhar dinheiro","Preciso aquendar aqué pra pagar o aluguel."
"Aquendar Ilê","ir para casa","Vou aquendar pro ilê, tô exausta."
"Aquendar o Ojum","olhar","Aquenda o ojum pra esse vestido novo."
"Aquendar o Omi","tomar água","Tá calor, vamos aquendar omi?"
"Aquendar a Mona","namorar mulher","Ele tá aquendando uma mona da igreja."
"Aquendar o Omi Dundum","tomar café","Vou aquendar omi dundum pra ficar acordada."
"Aquendar Ajeum","comer","Bora aquendar ajeum, tô com izala."
"Aquendar o xiré","ver os acontecimentos","Vou aquendar o xiré na festa pra ver o babado."
"Aquendar o Babado","brigar","As monas tão aquendando babado no salão."
"Aquendar Otim","beber","Vamos aquendar otim hoje no bar?"
"Aquendar Ochanã","acender o fogo","Preciso aquendar ochanã pra fumar um."
"Aquendar a Manhonga","tomar banho","Vou aquendar manhonga antes de sair."
"Aracá uó","rosto feio","Ele tem aracá uó mas é gente fina."
"Aracá escandolo","rosto bonito","Que aracá escandolo essa mona tem!"
"Aracá","rosto","Cuido do meu aracá com creme todo dia."
"Atim","cheiro","Que atim bom é esse perfume?"
"Axexé","ritual de despachos de mortos","Hoje tem axexé no terreiro da Mãe Zilda."
"Azacum","lama","Caí no azacum e sujei minha saia nova."
"Azualá","roubar, pegar, comer","Cuidado com ele, vai azualá seu celular."
"Azuelar a mona","roubar a mulher","O Zé azuelou a mona do Manoel."
"Azuelar o core","roubar o caro","Azuelaram o core do meu vizinho."
"Azuelar o okó","roubar o homem","Ela azuelou o okó da amiga e arrumou confusão."
"Banda ô","do lado, ou atrás","O bar fica na banda ô do mercado."
"Banda Ré","atrás","Olha quem tá na banda ré da fila."
"Bandalá","na frente","Fica bandalá que eu vou atrás."
"Batalha","faturar grana","Hoje é dia de batalha pra pagar as contas."
"Baté endaca","conversar","Bora baté endaca sobre a novela?"
"Bofe","rapaz","Aquele bofe tá me olhando, será que é de eque?"
"Babadinho","novidade boa","Ouvi um babadinho que vai ter festa sábado."
"Babado forte","novidade ruim","O babado forte é que o bar vai fechar."
"Babado","novidade, segredo, fofoca","Qual é o babado da rua hoje?"
"Baco","transar","Baco sem oxo de neca é loucura, mona."
"Bajubá uó","conversa chata","Chega de bajubá uó, vamos falar de coisa boa."
"Bajubá bem","conversa boa","Adoro nossa bajubá bem de todo dia."
"Bajubá","voz, fala, som da voz","Sua bajubá tá rouca, tá gripada?"
"Cacura","bicha acima dos 40 anos","A cacura do salão me ensinou muita coisa."
"Cacurucaia","bicha acima dos 60 anos","Respeita a cacurucaia, que é guerreira."
"Carupé","peruca","Minha carupé nova tá linda, comprei na 25."
"Cepavan","cerveja","Vamos tomar cepavan no boteco?"
"Chapéu","peruca","Arrasei com o chapéu novo no baile."
"Chaveco","mentira","Não vem com chaveco que eu conheço você."
"Cheque voador","peido","Soltei um cheque voador e todo mundo saiu correndo."
"Cheque","papel higiênico sujo","Joga o cheque no lixo, tá nojento."
"Chimba","coceira","Tô com chimba nas costas, deve ser alergia."
"Chochá","rir de outras pessoas","Para de chochá dos outros, é feio."
"Chocotó de amapoa","calcinha","Comprei chocotó de amapoa na feira."
"Chocotó de bofe","sunga","Ele tá de chocotó de bofe na praia."
"Coió","pessoas provocando escândalo","A coió tá armando confusão na rua."
"Corre corre","caro","Meu corre corre quebrou, tô a pé."
"Cufado","morto","O traficante cufou o adé da esquina."
"Cufar","matar","Isso é coisa pra cufar, tá maluco?"
"De eque","de mentira","Isso aí é de eque, não cai nessa."
"Decisa","esteira","Sente na decisa pra gente conversar."
"Desaquenda a Etaba","parar de fumar","Desaquenda etaba, faz mal pra saúde."
"Desaquenda a Endaca","parar de falar","Desaquenda endaca, tô cansada de ouvir."
"Desaquenda o Aqué","gastar dinheiro","Não desaquenda aqué com bobagem."
"Desaquenda","deixa pra lá","Desaquenda esse assunto chato."
"Desaquendar a Nena","fazer cocô","Preciso desaquendar nena urgente."
"Desaquendar o Mitorô","fazer xixi","O neném tá desaquendando mitorô."
"Desaquendar o Bofe","mandar o rapaz ir embora","Desaquenda esse bofe, ele não te merece."
"Desaquendar","parar, jogar, perder","Desaquenda esse vício, moça."
"Desaquendar o Cavalo","despedir o empregado","A patroa desaquendou o cavalo hoje."
"Desaquendar","ir embora, parar, viajar","Vou desaquendar pra casa da minha mãe."
"Didê","dura","Esse pão tá didê, não dá pra comer."
"Dilogá","prato","Lavei o dilogá e guardei."
"Dilonga","copo","Enche o dilonga de suco pra mim."
"Dragão","feia, horrorosa","Aquela mona é um dragão, coitada."
"Dundun","preto","Orgulho de ser dundun, minha raça."
"Fazar a linha","finjir, tentar agradar","Para de fazer a linha, assume logo."
"Fuzado","ruim, estragado","Meu rádio tá fuzado, não pega mais."
"Gamber","policial","O gamber tá na esquina, cuidado."
"Guanguan","estar na pior","Tô guanguan desde que perdi meu emprego."
"Ebó","coisa ruim, feitiço","Cuidado com ebó de invejoso."
"Edi matim","bunda pequena e feia","Ela tem edi matim mas se acha."
"Edi odara","bunda grande e bonita","Que edi odara, hein? Malha muito."
"Edi","bunda","Bota o edi pra dançar, mona."
"Efim","dente","Tô com dor no efim, preciso ir ao dentista."
"Elza","roubar","Cuidado que vão elzar sua bolsa."
"Endaké","cigano, cigana","A endaké leu minha mão e acertou tudo."
"Entrujão","pessoa receptora de roubos","Cuidado com entrujão no ônibus."
"Eque","mentira","Isso é eque, não acredito."
"Ere","menino","O ere tá fazendo arte na rua."
"Ereia","menina","A ereia tá aprendendo a ler."
"Escandolo","bonito","Que vestido escandolo você tá usando!"
"Etú","orelha","Botei brinco novo no etú."
"Iá","cai","O copo iá no chão e quebrou."
"Ibope","sucesso","A festa tá com ibope, lotou."
"Iemanjá","prata","Ganhei pulseira de iemanjá de presente."
"Ile de alibam","delegacia","O Zé tá no ile de alibam de novo."
"Ile de baco","hotel","Vamos pro ile de baco no feriado."
"Ile odara","casa bonita","Que ile odara a sua, arrasou."
"Ile da paz","igreja","Domingo vou no ile da paz rezar."
"Ile de nena","privada","O ile de nena tá entupido de novo."
"Ilê de Aqué","banco (financeiro)","Preciso ir no ilê de aqué amanhã."
"Ilê de Saúde","hospital, clínica","Ela tá no ilê de saúde faz exames."
"Ilê de Colori","hospício","Aquele maluco devia tá no ilê de colori."
"Ilê de paz","igreja","Vou no ilê de paz acender uma vela."
"Ilê de educar","escola","O ere tá no ilê de educar agora."
"Ilê de Iratar","farmácia","Preciso ir no ilê de iratar pegar remédio."
"Ile","casa","Minha ile é pequena mas é minha."
"Indaca co indaca","beijo na boca","Deram indaca co indaca no cinema."
"Indaca de ofofo","pessoa fofoqueira","Cuidado com indaca de ofofo da rua."
"Indaca","boca","Fecha essa indaca e vem cá."
"Indé","pulseira","Minha indé quebrou no baile."
"Inhá","fio de conta","Coloquei inhá pra me proteger."
"Izala","fome","Tô com izala, vamos comer algo."
"Laruê","fofoca, bagunça, quebra-quebra","A festa virou laruê, que confusão."
"Linha uó","ser ruim","Esse filme é linha uó, não presta."
"Lorogun","briga","Teve lorogun no bar ontem."
"Manhonga francesa","banho pela metade","Tomei manhonga francesa correndo."
"Manhonga","banho","Vou tomar manhonga antes de dormir."
"Maricona","bicha velha","A maricona do salão é sabida."
"Marvambo","vagabundo","Esse marvambo não quer trabalhar."
"Matin","pouca, pequeno","Só tem matin pra hoje, amanhã compro mais."
"Metámetá","homem meio bicha","Ele é metámetá, vive no armário."
"Mitoró","xixi","O bebê tá fazendo mitorô."
"Mona ocó","sapatão, lésbica","A mona ocó é minha amiga de anos."
"Mona uó","mulher feia","Aquela mona uó vive me olhando."
"Mona de eque","mulher de mentira","Ela é mona de eque, não presta."
"Mona da banda osse","mulher do lado","A mona da banda osse é minha vizinha."
"Mona dunda","mulher preta","Mona dunda é minha inspiração."
"Mona odara","mulher bonita","Que mona odara você é!"
"Mona Dundun","mulher preta","Mona dundun é força pura."
"Mona","mulher","Respeita as monas, moço."
"Mubilha","dente","Minha mubilha tá doendo, preciso de dentista."
"Mucunã","cabelo","Fiz meu mucunã novo no salão."
"Nagíria","chegando","O ônibus tá nagíria, se apressa."
"Nena","cocô","O bebê fez nena na fralda."
"Obé xirê","navalha","Cuidado com o obé xirê, tá afiado."
"Obé faim","tesoura","Cadê o obé faim pra cortar esse pano?"
"Obé","faca, facão, canivete","O obé tá na gaveta da cozinha."
"Ochanã","cigarro","Vou acender ochanã pra relaxar."
"Ocó dundun","homem preto","Ocó dundun é meu preferido."
"Ocó antigo","homem velho","O ocó antigo é cheio de história."
"Ocó molhado","bicha encubada","Ele é ocó molhado, não assume nem a pau."
"Ocó Chefe Odara","Presidente da República","O ocó chefe odara vai falar hoje na TV."
"Ocó","homem","Ocó bonito é difícil de achar."
"Odara","grande","Essa festa tá odara, hein?"
"Ojun odara","olho grande","Que ojun odara lindo você tem."
"Ojun de eque","lente de contato","Coloquei ojun de eque pra sair hoje."
"Ojun escândalo","olho bonito","Seus ojun são escândalo, moça."
"Ojun","olho","Fecha ojun e dorme, tá tarde."
"Omega-sangueoxo dundun","roupa preta","Vestida de omega-sangueoxo dundun pro baile."
"Oni dundu","café","Toma oni dundu pra ficar acordada."
"Oni","água","Preciso de oni pra tomar meu remédio."
"Otim de ere","refrigerante","Otim de ere faz mal, mas é gostoso."
"Otim","bebida","Qual otim você quer? Tem suco e cepavan."
"Oxo de neca","camisinha","Nunca esqueça do oxo de neca, mona."
"Oxo de amapoa","roupa de mulher","Comprei oxo de amapoa na feira."
"Oxo de ocó","roupa de homem","Esse oxo de ocó tá caro demais."
"Oxo","roupa","Lavei meu oxo ontem, tá limpinho."
"Pembado","estragado","Meu ventilador tá pembado, não liga mais."
"Ramé","mal vestida","Chegou toda ramé na festa, coitada."
"Ravi","Assassino, matador, perigoso","Cuidado com ele, é ravi conhecido."
"Repã de ojum","televisão, jornal, revista","Tá vendo repã de ojum? Passa minha novela."
"Repã de ouvi","rádio, toca-disco, toca-fita","Liga o repã de ouvi pra ouvir música."
"Revá","revolta, raiva, ódio, bravura","Tô com revá desse emprego, vou sair."
"Taramuseco","lama","Caí no taramuseco e sujei minha calça."
"Tik","relógio","Meu tik parou, não sei que horas são."
"Tombado","ruim, estragado","Esse som tá tombado, não dá pra ouvir."
"Top","sutiã","Comprei um top novo na feira."
"Trevas","escuridão ou rua","Não anda nas trevas sozinha, é perigoso."
"Uó","feio, ruim, esquisito","Esse carro é uó demais, parece lata velha."
"Vovó catarina","pessoa velha intrometida","A vovó catarina vive na vida alheia."
"Ta na onda","estar a fim","Tô na onda dele hoje, será que rola?"
"Taba de eque","cigarro","Acendeu taba de eque e tossiu, tá ruim?"
"Talão de cheque","rolo de papel higiênico","Preciso comprar talão de cheque pro banheiro."
"Xarope","chato, nojento, enjoado","Para de ser xarope, tá me irritando."
"Xaum","reunião","Teve xaum no trabalho hoje, só encheção."
"Xepó","cafona","Esse look tá xepó, muda isso."